,Names,Prices,Ratings
0,"Realme 5i (Forest Green, 128 GB)","₹10,999",4.4
1,"Redmi 8 (Ruby Red, 64 GB)","₹8,999",4.4
2,"Realme C3 (Blazing Red, 32 GB)","₹7,499",4.4
3,"Realme C3 (Frozen Blue, 32 GB)","₹7,499",4.4
4,"Redmi 8 (Onyx Black, 64 GB)","₹8,999",4.4
5,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4
6,"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
7,"Realme 5i (Aqua Blue, 128 GB)","₹10,999",4.4
8,"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
9,"Realme 5s (Crystal Blue, 64 GB)","₹10,999",4.4
10,"Realme 6 (Comet White, 64 GB)","₹13,999",4.4
11,"Realme C2 (Diamond Black, 32 GB)","₹6,499",4.4
12,"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
13,"Realme C2 (Diamond Blue, 32 GB)","₹6,499",4.4
14,"Realme 5s (Crystal Blue, 128 GB)","₹11,999",4.4
15,"Realme 5s (Crystal Purple, 64 GB)","₹10,999",4.4
16,"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
17,"Realme C3 (Frozen Blue, 64 GB)","₹8,499",4.4
18,"Realme 6 Pro (Lightning Blue, 64 GB)","₹17,999",4.6
19,"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
20,"Realme C2 (Diamond Sapphire, 32 GB)","₹7,499",4.3
21,"POCO X2 (Matrix Purple, 128 GB)","₹17,999",4.6
22,"Realme 6 Pro (Lightning Blue, 128 GB)","₹19,999",4.5
23,"Realme 6 Pro (Lightning Blue, 128 GB)","₹18,999",4.6
24,"Realme 6 (Comet White, 128 GB)","₹15,999",4.4
25,"POCO X2 (Atlantis Blue, 64 GB)","₹16,999",4.6
26,"Redmi 8 (Sapphire Blue, 64 GB)","₹8,999",4.4
27,"Realme 5 Pro (Crystal Green, 128 GB)","₹16,999",4.5
28,"Realme 5 Pro (Sparkling Blue, 64 GB)","₹13,999",4.5
29,"Vivo Z1Pro (Sonic Blue, 64 GB)","₹13,990",4.5
30,"Vivo Z1Pro (Sonic Blue, 64 GB)","₹14,990",4.5
31,"POCO X2 (Phoenix Red, 128 GB)","₹17,999",4.6
32,"Realme 5 (Crystal Purple, 64 GB)","₹10,999",4.4
33,"Realme C3 (Blazing Red, 64 GB)","₹8,499",4.4
34,"Samsung Galaxy S9 (Midnight Black, 64 GB)","₹28,499",4.4
35,"Redmi Note 6 Pro (Red, 64 GB)","₹11,999",4.5
36,"Honor 20i (Phantom Red, 128 GB)","₹10,999",4.3
37,"Redmi 8A (Midnight Black, 32 GB)","₹6,999",4.4
38,"OPPO A7 (Glaring Gold, 64 GB)","₹10,990",4.4
39,"OPPO A7 (Glaze Blue, 64 GB)","₹13,690",4.3
40,"Redmi 8A (Ocean Blue, 32 GB)","₹6,999",4.4
41,"Infinix Hot 8 (Cosmic Purple, 64 GB)","₹7,999",4.5
42,"Infinix Hot 8 (Shark Grey, 64 GB)","₹7,999",4.5
43,"Infinix Hot 8 (Quetzal Cyan, 64 GB)","₹7,999",4.5
44,"Realme 5 Pro (Crystal Green, 64 GB)","₹14,999",4.5
45,"Realme 5 Pro (Sparkling Blue, 128 GB)","₹16,999",4.5
46,"Realme 5 Pro (Crystal Green, 64 GB)","₹13,999",4.5
47,"Realme 5 Pro (Sparkling Blue, 64 GB)","₹14,999",4.5
48,"Realme X2 (Pearl White, 64 GB)","₹17,999",4.5
49,"Infinix Note 5 (Ice Blue, 64 GB)","₹12,699",4.2
50,"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)","₹13,999",4.5
51,"Redmi 8A (Sunset Red, 32 GB)","₹7,499",4.4
52,"Samsung Galaxy S9 Plus (Midnight Black, 64 GB)","₹31,699",4.5
53,"Honor 20i (Phantom Blue, 128 GB)","₹10,999",4.3
54,"Redmi Note 7 Pro (Space Black, 128 GB)","₹13,999",4.5
55,"Realme 5s (Crystal Red, 128 GB)","₹11,999",4.4
56,"OPPO A7 (Glaze Blue, 64 GB)","₹9,490",4.4
57,"Infinix S5 Pro (Forest Green, 64 GB)","₹10,999",4.5
58,"Infinix S5 Pro (Violet, 64 GB)","₹10,999",4.5
59,"Realme XT (Pearl Blue, 64 GB)","₹17,999",4.5
60,"POCO F1 (Steel Blue, 256 GB)","₹22,999",4.5
61,"Redmi Note 5 (Black, 64 GB)","₹11,999",4.4
62,"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹10,999",4.5
63,"OPPO F11 Pro (Thunder Black, 64 GB)","₹16,990",4.4
64,"POCO X2 (Matrix Purple, 64 GB)","₹16,999",4.6
65,"Motorola One Macro (Space Blue, 64 GB)","₹9,499",4.3
66,"Honor 9X (Midnight Black, 128 GB)","₹16,999",4.4
67,"Google Pixel 3a (Just Black, 64 GB)","₹30,999",4.5
68,"POCO X2 (Matrix Purple, 256 GB)","₹20,999",4.6
69,"Redmi Go (Blue, 16 GB)","₹4,999",4.3
70,"Realme XT (Pearl Blue, 128 GB)","₹19,999",4.5
71,"Redmi Note 8 (Cosmic Purple, 128 GB)","₹13,699",4.4
72,"Realme X2 (Pearl Blue, 128 GB)","₹19,999",4.5
73,"Realme X2 (Pearl Blue, 64 GB)","₹17,999",4.5
74,"Realme X2 (Pearl White, 128 GB)","₹19,999",4.5
75,"Realme X2 (Pearl Green, 128 GB)","₹19,999",4.5
76,"Realme X2 (Pearl Green, 128 GB)","₹20,999",4.5
77,"Google Pixel 3a (Clearly White, 64 GB)","₹30,999",4.5
78,Micromax X807,"₹1,085",4.1
79,"Vivo S1 Pro (Mystic Black, 128 GB)","₹20,990",4.5
80,"POCO X2 (Atlantis Blue, 256 GB)","₹20,999",4.6
81,"Realme XT (Pearl Blue, 64 GB)","₹16,999",4.5
82,Nokia 105 SS,"₹1,125",4.3
83,Nokia 105 ss,"₹1,076",4.3
84,Nokia 105 SS,"₹1,097",4.3
85,"Honor 20i (Midnight Black, 128 GB)","₹10,999",4.3
86,Micromax X380,₹770,4
87,"OPPO A31 (Mystery Black, 64 GB)","₹12,490",4.4
88,"OPPO A31 (Fantasy White, 64 GB)","₹12,490",4.4
89,"Redmi Note 8 Pro (Shadow Black, 128 GB)","₹16,599",4.5
90,"Panasonic Eluga Ray 610 (Black, 32 GB)","₹5,999",4.2
91,"OPPO F15 (Unicorn White, 128 GB)","₹21,990",4.4
92,"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹11,999",4.5
93,"OPPO F11 Pro (Thunder Black, 128 GB)","₹19,990",4.4
94,"Apple iPhone 7 Plus (Gold, 32 GB)","₹36,999",4.5
95,I Kall K88,₹649,3.3
96,"Redmi Note 8 Pro (Gamma Green, 128 GB)","₹16,890",4.5
97,Nokia 105 SS,"₹1,078",4.3
98,Kechaoda K66 Plus,₹949,4.1
99,"Apple iPhone 7 Plus (Rose Gold, 32 GB)","₹36,999",4.5
100,Lava A1,₹840,4.1
101,Micromax X412,₹723,4
102,Micromax X412,₹688,4
103,"Moto E6s (Caribbean Blue, 64 GB)","₹7,499",4.1
104,"Redmi K20 Pro (Glacier Blue, 128 GB)","₹26,999",4.5
105,"Lenovo K10 Plus (Black, 64 GB)","₹11,499",4.1
106,"OPPO K1 (Piano Black, 64 GB)","₹14,990",4.4
107,Samsung Guru 1200,"₹1,260",4.3
108,Kechaoda K115,₹880,4.1
109,"Vivo Y19 (Spring White, 128 GB)","₹14,990",4.4
110,"Vivo Y19 (Magnetic Black, 128 GB)","₹14,990",4.4
111,"Samsung Galaxy S9 (Coral Blue, 64 GB)","₹28,499",4.4
112,"Samsung Galaxy M30 (Gradation Blue, 64 GB)","₹12,279",4.4
113,I Kall K26 New,₹639,3.5
114,Lava Hero,₹671,4
115,"Gionee F9 Plus (Blue, 32 GB)","₹7,499",4.1
116,Nokia 105 SS,"₹1,060",4.3
117,"Black Shark 2 (Frozen Silver, 256 GB)","₹42,499",4.5
118,Kechaoda K66 Plus,₹949,4.1
119,Lava A3,"₹1,049",4.2
120,"POCO X2 (Phoenix Red, 64 GB)","₹16,999",4.6
121,"Panasonic Eluga Ray 810 (Starry Black, 64 GB)","₹6,999",4.1
122,Micromax X378,₹705,3.9
123,"Vivo S1 Pro (Jazzy Blue, 128 GB)","₹20,990",4.5
124,"Vivo S1 Pro (Dreamy White, 128 GB)","₹20,990",4.5
125,"XOLO Era 4x (Black, 16 GB)","₹4,299",4.1
126,"Samsung Galaxy M30s (Black, 64 GB)","₹14,900",4.4
127,"Samsung Galaxy M30s (Black, 64 GB)","₹14,073",4.4
128,Nokia 105 SS,"₹1,089",4.3
129,"Realme XT (Pearl White, 128 GB)","₹19,999",4.5
130,"Realme XT (Pearl White, 64 GB)","₹17,999",4.5
131,"Realme XT (Pearl White, 64 GB)","₹16,999",4.5
132,Micromax X512,₹760,4
133,"Gionee F9 Plus (Black, 32 GB)","₹7,499",4.1
134,"Black Shark 2 (Shadow Black, 128 GB)","₹31,999",4.5
135,Micromax X516,₹796,4
136,"Vivo Y11 (Agate Red, 32 GB)","₹9,990",4.4
137,"Vivo Y11 (Mineral Blue, 32 GB)","₹9,990",4.4
138,"OPPO F15 (Lightening Black, 128 GB)","₹21,990",4.4
139,"OPPO F11 Pro (Aurora Green, 128 GB)","₹17,990",4.4
140,"Redmi Note 7 Pro (Astro Moonlight White, 64 GB)","₹12,999",4.5
141,Samsung Guru Music 2,"₹1,760",4.3
142,"Moto G8 Plus (Crystal Pink, 64 GB)","₹12,999",4.3
143,Kechaoda K33,₹880,4.1
144,Lava A7,"₹1,316",4.2
145,"Redmi Note 8 (Space Black, 128 GB)","₹12,999",4.4
146,"Lenovo K10 Note (Black, 64 GB)","₹9,999",4.2
147,"Samsung Galaxy A50 (Black, 64 GB)","₹15,899",4.3
148,"Nokia 7.2 (Ice, 64 GB)","₹17,099",4.2
149,"Realme X (Super Polar White, 128 GB)","₹21,999",4.5
150,"Redmi 8 (Emerald Green, 64 GB)","₹8,999",4.4
151,"Vivo S1 (Skyline Blue, 128 GB)","₹19,990",4.5
152,"Vivo S1 (Diamond Black, 128 GB)","₹19,990",4.5
153,"Tecno Camon 15 Pro (Opal White, 128 GB)","₹14,999",3.5
154,"Tecno Camon 15 Pro (Ice Jadite, 128 GB)","₹14,999",3.5
